Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
953440,84PGCIL30,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07NI3,Electric Utilities,Debentures and Bonds
953441,840PGCIL28A,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07NG7,Electric Utilities,Debentures and Bonds
953445,87927MMFS19,Mahindra &amp; Mahindra Financial Services Ltd,Active,F ,1000000.00,INE774D07OB2,Finance (including NBFCs),Debentures and Bonds
953446,ECLA8D601A,ECL Finance Ltd,Active,F ,100000.00,INE804I07J88,Electric Utilities,Debentures and Bonds
953447,ECLA8D601B,ECL Finance Ltd,Active,F ,100000.00,INE804I07J96,Electric Utilities,Debentures and Bonds
953449,845SBH26,STATE BANK OF HYDERABAD,Active,F ,1000000.00,INE649A08037,Banks,Debentures and Bonds
953450,ECLA9B603A,ECL Finance Ltd,Active,F ,100000.00,INE804I07K02,Electric Utilities,Debentures and Bonds
953451,ECLA9B603B,ECL Finance Ltd,Active,F ,100000.00,INE804I07K10,Electric Utilities,Debentures and Bonds
953453,10TGDCL26,Tamil Nadu Generation and Distribution Corporation Ltd,Active,F ,1000000.00,INE340M08152,Electric Utilities,Debentures and Bonds
953456,1119ESFBL21,Equitas Small Finance Bank Ltd,Active,F ,1000000.00,INE247U07014,,Debentures and Bonds
953457,175VHL19,VASATHI HOUSING Ltd,Active,F ,833333.32,INE594P07019,,Debentures and Bonds
953458,175VHL19A,VASATHI HOUSING Ltd,Active,F ,1000000.00,INE594P07027,,Debentures and Bonds
953460,890ILFSFS26,IL&amp;FS Financial Services Ltd,Active,F ,1000.00,INE121H08073,Financial Institutions,Debentures and Bonds
953461,11AHFC21B,Aspire Home Finance Corporation Ltd,Active,F ,1000000.00,INE658R08032,Housing Finance ,Debentures and Bonds
953462,ECLB9C601A,ECL Finance Ltd,Active,F ,100000.00,INE804I07K44,Electric Utilities,Debentures and Bonds
953463,ECLI6B601A,ECL Finance Ltd,Active,F ,100000.00,INE804I07K36,Electric Utilities,Debentures and Bonds
953464,87HDFC19,Housing Development Finance CorpLt,Active,F ,10000000.00,INE001A07ON1,Housing Finance ,Debentures and Bonds
953465,925ATL19,Adani Transmission Ltd,Active,F ,1000000.00,INE931S07025,Electric Utilities,Debentures and Bonds
953466,935ATL20,Adani Transmission Ltd,Active,F ,1000000.00,INE931S07033,Electric Utilities,Debentures and Bonds
